Movie Name,Kevin's Rating,Unnamed: 2,Watch Date,Ryan's Rating,Sebastian's Rating,Darrell's rating ,DB ID,IMDB ID,Long Title,IMDB URL (don't edit me),Corrected IMDB (edit me!),year,rating,runtimes,genres,votes,director,cast,writer,production companies
Aristocats ,3/10,,2024-01-05,,6/10,,0065421,0065421,The Aristocats (1970),https://www.imdb.com/title/tt0065421,,1970,7.1,78,"['Animation', 'Adventure']",119003,['0718627'],"['0365201', '0001247', '0001359', '0001079', '0934593', '0399913', '0780005', '0712391', '0163849', '0257611', '0239295', '0474685', '0125426', '0512357', '0263082', '0791186', '0485272', '0045968', '0560795', '0859892', '0125651', '0004931', '0504515', '0621699', '0719115']","['0166307', '0314788', '0027011', '0858826', '0166551', '0841035', '0942723', None, '0569710', '1318202']","['0098836', '0074039']"
The Other Zoey,4/10,,2024-01-05,,,,11951276,11951276,The Other Zoey (2023),https://www.imdb.com/title/tt11951276,,2023,5.9,91,"['Comedy', 'Drama']",12114,['3182755'],"['6466214', '6481846', '8850556', '12761494', '0000510', '0264579', '0001287', '4670465', '6818264', '7051454', '5623348', '5006670', '0807700', '5198327', '2061352', '2803843', '0829401', '1322676', '7053546', '12435540', '9164460', '7587444', '4447306', '6980924', '6849816', '6480562', '12434471', '6911209', '13109010', '13454196', '11060427', '3524200', '4362836', '13082554']",['0845860'],"['0391448', '0090180']"
Anyone But You,7/10,,2024-01-05,,,,26047818,26047818,Anyone But You (2023),https://www.imdb.com/title/tt26047818,,2023,6.1,103,"['Comedy', 'Romance']",138729,['0323239'],"['2858875', '1412974', '12454706', '11261850', '14536350', '10381726', '3381295', '6044874', '0000551', '0341737', '11354582', '9608049', '6857090', '4962963', '5873072', '15566255', '15811371', '9471695', '4915010', '0000986', '0403335', '6651162', '5689164', '6232759', '4062214', '3726202', '3862451', '15566257', '14431707', '6583474', '6669603', '15799444', '5810594', '10397713', '13811804']","['8004357', '0323239', None, '8004357']","['0050868', '0747900', '0632478', '0813550', '0219609', '0762917', '0032262', '0420822', '0197898']"
Drifting Home,6/10,,2024-01-06,,,,15494038,15494038,Drifting Home (2022),https://www.imdb.com/title/tt15494038,,2022,6.3,119,"['Animation', 'Adventure']",4847,['5995018'],"['3150446', '4439231', '4986852', '5693918', '0462086', '5667822', '2573928', '0793554', '0014557', '1679934', '2594314', '7918124', '5771346', '7584229', '4471317', '8858392', '9782107', '9539402', '9052543', '13008653', '10430277', '7858309', '0224007', '0228356', '7893886', '1512156', '0473873', '0606422', '0745310', '7583837', '1312566']","['5995018', None, '3648915']","['0491640', '0692662']"
She's Out of My League,7/10,,2024-01-06,,,,0815236,0815236,She's Out of My League (2010),https://www.imdb.com/title/tt0815236,,2010,6.4,104,"['Comedy', 'Romance']",148710,['1637768'],"['0059431', '1404408', '2554352', '1036181', '1535594', '0005441', '1531180', '1167794', '1269983', '0750468', '0480775', '2137418', '1896248', '0836176', '1887429', '0198408', '0560864', '0263368', '0866608', '1372047', '1362555', '0832941', '0032400', '2093763', '0008606', '1478613', '1382097', '2848871', '3825764', '0816881', '3843388', '3825759', '10514903', '3825762', '3825745', '3825744', '3455491', '3825787', '3825788', '3825791', '3825796', '3825775', '1495470', '4372017', '0024565', '4516865', '3183621', '6389228', '3967317', '1091892', '2067604', '1659122', '2092808', '4550979', '4057847', '2654399', '0933795', '2974557', '3450022', '7819058', '4765204', '8098913', '3419237', '2860920', '3246266', '3603533', '1563539', '0443248', '5741638', '6061008', '5544108', '3611830', '2736093', '4585157', '3587366', '3026660', '3471864', '0561667', '3095290', '4371535', '3838935', '3459382', '3129608', '3003787', '2575578', '4489280', '4223911', '2593045', '2475615', '4009077', '3074444', '1059473', '7794885', '11790404', '3297556', '8184718', '4105575', '3199477', '3526952']","['1890845', '1898234']","['0819670', '0037759']"
Tombstone,6/10,,2024-01-06,,,,0108358,0108358,Tombstone (1993),https://www.imdb.com/title/tt0108358,,1993,7.8,130,"['Biography', 'Drama']",174744,['0181902'],"['0000621', '0000174', '0000385', '0000200', '0000959', '0000299', '0000032', '0000594', '0855103', '0002332', '0002006', '0001127', '0539155', '0172492', '0923984', '0001586', '0740264', '0001013', '0000671', '0032962', '0103704', '0070115', '0679904', '0121559', '0000708', '0247449', '0179173', '0336480', '0808210', '0792069', '0852076', '0642368', '0773741', '0164766', '0666540', '0821734', '0568658', '0001917', '0305357', '0923830', '0242279', '0288064', '0416532', '0171896', '0388839', '0911443', '0712785', '0593844', '0316596', '0651649', '0564508', '0000053', '8923274', '0718854', '0064322', '0182421', '1106876', '0283192', '0324980', '0358953', '1005743', '3205680', '1649846', '0671162', '8445743', '2237795', '1153339', '0799776', '7518007', '3374188', '2340529', '1555204', '5052687', '0926543', '0936383']",['0418883'],"['0076240', '0094483', '0049706']"
The Holdovers,8/10,,2024-01-08,,,,14849194,14849194,The Holdovers (2023),https://www.imdb.com/title/tt14849194,,2023,7.9,133,"['Comedy', 'Drama']",194545,['0668247'],"['0316079', '14073757', '5007768', '0696387', '10676456', '12934509', '8806561', '4413892', '1542442', '3608877', '12060367', '0897005', '0004883', '9548774', '1128356', '3770854', '7411513', '4782621', '11442116', '11264754', '15201618', '9680741', '4024589', '4532143', '3578998', '5306105', '2728453', '2228499', '2300772', '9090388', '5675688', '1372572', '1192200', '1433765', '0193313', '5454095', '0732541', '15201619', '10004507', '1345849', '1796676', '0003331', '15658709', '13174504', '6039436', '4598524', '10653063', '11257579', '13655308', '14482301', '8220917', '3111126', '12300285', '3984816', '8993989', '8307652', '10099179', '14003069', '4098925', '14585911', '0099708', '7683074', '9561140', '13529074', '6935954', '9495632', '4908045', '2820631', '3263226', '13467329', '14287958', '11304238', '11559459', '2311427', '14664535', '13574532']",['0376003'],"['0022594', '0719257', '0071947']"
Pitch Perfect,7/10,,2024-01-09,,7/10,,1981677,1981677,Pitch Perfect (2012),https://www.imdb.com/title/tt1981677,,2012,7.1,112,"['Comedy', 'Music']",338674,['0601337'],"['0447695', '2799457', '4805317', '0811242', '2319871', '2313103', '3625065', '3637636', '2443438', '4275908', '3672453', '4708985', '1689771', '3903323', '2796745', '2064295', '4700297', '2980031', '0006969', '0383422', '0382632', '2238815', '4507670', '3846106', '5211140', '4191164', '1740033', '1965968', '2252812', '3236292', '3846716', '1850967', '4708180', '4754232', '4354794', '4878312', '4731168', '0516266', '1490495', '0428319', '0265668', '2313866', '1885015', '2395586', '4151526', '4720614', '4938694', '4766392', '4561847', '5286978', '5060159', '4751800', '4735426', '3789057', '4734757', '4752742', '4738909', '4726204', '5287931', '4857641', '5548490', '2985264', '4329380', '4964467', '4718908', '4766309', '3077943', '4766790', '4791736', '3307291', '5206439', '4972559', '5286440', '3239345', '5286203', '1858908', '4971397', '2574286', '4233651', '4972404', '4971575', '5290137', '5602509', '4724842', '5290277', '5290328', '5290193', '5290197', '5290319', '5290214', '5290327', '5290340', '5290335', '5290273', '5290333', '5290202', '5290267', '5270411', '5086635', '5290229', '5290294', '5290312', '5290163', '5290222', '5290279', '5290216', '5290268', '5290098', '5290247', '5290118', '5290255', '5290112', '5290218', '3733748', '4169460', '5290191', '0002535', '1192060', '5290238', '3141508', '4839155', '2160675', '0745446', '1585712', '4812096', '5290115', '4597836', '3099713', '5999342', '4751112', '5215140', '5004128', '3834161', '2744237', '3257118', '4526485', '4866664', '7014467', '4735881', '10216180', '9543680', '2841197', '5164801', '1970431', '2922462', '5297059', '4736957', '4742381', '4989058', '2374610', '3681508', '4820111', '4168319', '2587636', '2217844', '4374944', '5041286', '3204509', '4524558', '5332524', '8289636', '5358333', '4867994', '4206690', '3892956', '4776328', '5254672']","['0134224', None, '3015467']","['0283926', '0076476']"
Shaun the Sheep,8/10,,2024-01-10,,,,2872750,2872750,Shaun the Sheep Movie (2015),https://www.imdb.com/title/tt2872750,,2015,7.3,85,"['Animation', 'Adventure']",44879,"['0123666', '0326450']","['1017994', '0816950', '0229084', '0916432', '0361957', '0359486', '0638762', '0338425', '1469295', '1015406', '0175355', '7109041', '1647641', '5011606', '4756197', '0881395', '0661910']","['0123666', '0326450', None, '0661910']","['0047476', '0103531', '0762021']"
See you on Venus,7/10,,2024-01-10,,,,14960612,14960612,See You on Venus (2023),https://www.imdb.com/title/tt14960612,,2023,6.1,94,"['Drama', 'Romance']",4761,['1402741'],"['4722966', '6269125', '0004900', '14817128', '2289900', '7810129', '4206814', '0785548', '1985820', '2403531', '6573373', '5176738', '7490647', '8814832', '6569642', '5501857', '14781066', '5482967', '14057339']",['9075909'],['0995641']
