URL,name,len,Long Title
https://www.imdb.com/name/nm2841197/,Samantha Kelly,22,"['Zookeeper (2011)', '27 Dresses (2008)', 'The Curious Case of Benjamin Button (2008)', 'Neighbors (2014)', 'Harold and the Purple Crayon (2024)', 'Gone Girl (2014)', 'Vacation (2015)', 'Coach Carter (2005)', 'Ted 2 (2015)', 'The Hurt Locker (2008)', 'Neighbors 2: Sorority Rising (2016)', 'Silver Linings Playbook (2012)', 'Alvin and the Chipmunks: The Road Chip (2015)', 'Pacific Rim (2013)', 'Just My Luck (2006)', 'Norbit (2007)', ""Daddy's Home (2015)"", 'IF (2024)', ""Gulliver's Travels (2010)"", ""Daddy's Home 2 (2017)"", 'Pitch Perfect (2012)', 'Non-Stop (2014)']"
https://www.imdb.com/name/nm0443248/,Spencer Kayden,21,"['Silver Linings Playbook (2012)', '27 Dresses (2008)', 'Lars and the Real Girl (2007)', 'Zookeeper (2011)', ""You've Got Mail (1998)"", 'Catch Me If You Can (2002)', 'Good Will Hunting (1997)', 'The Sixth Sense (1999)', ""She's Out of My League (2010)"", 'Coach Carter (2005)', 'Norbit (2007)', 'The Other Guys (2010)', 'Just Go with It (2011)', 'Brokeback Mountain (2005)', 'Never Been Kissed (1999)', 'Just My Luck (2006)', 'The Animal (2001)', 'Idiocracy (2006)', 'Fun with Dick and Jane (2005)', 'The Curious Case of Benjamin Button (2008)', 'Two Weeks Notice (2002)']"
https://www.imdb.com/name/nm1221047/,Keegan-Michael Key,13,"['IF (2024)', 'Keanu (2016)', 'The Angry Birds Movie (2016)', 'Vacation (2015)', 'Transformers One (2024)', 'Migration (2023)', ""Chip 'n Dale: Rescue Rangers (2022)"", ""Star Wars Galaxy's Edge: Adventure Awaits (2019) (TV)"", 'Horrible Bosses 2 (2014)', 'MoviePass, MovieCrash (2024)', 'Pitch Perfect 2 (2015)', 'Just Go with It (2011)', 'Wonka (2023)']"
https://www.imdb.com/name/nm5241466/,Mark Falvo,13,"['The Waterboy (1998)', 'The Departed (2006)', 'Fun with Dick and Jane (2005)', 'Glass (2019)', 'The Sixth Sense (1999)', 'Zodiac (2007)', 'Creed (2015)', 'Creed II (2018)', 'Twister (1996)', 'Silver Linings Playbook (2012)', 'The Founder (2016)', 'Rocky Balboa (2006)', 'Remember the Titans (2000)']"
https://www.imdb.com/name/nm0001191/,Adam Sandler,10,"['Billy Madison (1995)', 'Mr. Deeds (2002)', 'The Animal (2001)', 'Zookeeper (2011)', 'The Hot Chick (2002)', 'Leo (2023)', 'Just Go with It (2011)', 'The Waterboy (1998)', 'Pixels (2015)', 'Blended (2014)']"
https://www.imdb.com/name/nm0736622/,Seth Rogen,9,"['Zack and Miri Make a Porno (2008)', 'Kung Fu Panda 4 (2024)', '50/50 (2011)', 'The Fabelmans (2022)', 'Neighbors (2014)', ""Chip 'n Dale: Rescue Rangers (2022)"", 'Knocked Up (2007)', 'Neighbors 2: Sorority Rising (2016)', 'Kung Fu Panda 3 (2016)']"
https://www.imdb.com/name/nm0000230/,Sylvester Stallone,9,"['Creed II (2018)', 'Creed (2015)', 'Rocky II (1979)', 'Rocky IV (1985)', 'Rocky III (1982)', 'Rocky Balboa (2006)', 'Rocky (1976)', 'Rocky V (1990)', 'Zookeeper (2011)']"
https://www.imdb.com/name/nm3491108/,Michelle Santiago,9,"['After Everything (2018)', 'Split (2016)', 'IF (2024)', 'Glass (2019)', 'I Saw the TV Glow (2024)', 'Madame Web (2024)', 'Creed II (2018)', 'Creed (2015)', 'Silver Linings Playbook (2012)']"
https://www.imdb.com/name/nm0864490/,Jackie Sandler,8,"['Leo (2023)', 'The Out-Laws (2023)', 'Home Team (2022)', 'Just Go with It (2011)', 'The Wrong Missy (2020)', 'Zookeeper (2011)', 'Blended (2014)', 'Pixels (2015)']"
https://www.imdb.com/name/nm0000474/,Michael Keaton,8,"['The Other Guys (2010)', 'Beetlejuice Beetlejuice (2024)', 'Birdman or (The Unexpected Virtue of Ignorance) (2014)', 'The Flash (2023)', 'Knox Goes Away (2023)', 'First Daughter (2004)', 'The Founder (2016)', ""Won't You Be My Neighbor? (2018)""]"
