genres,len,Long Title
Comedy,184,"['Reno 911!: Miami (2007)', 'Jingle All the Way 2 (2014) (V)', 'A Family Affair (2024)', 'Billy Madison (1995)', 'Baby Mama (2008)', 'Wonka (2023)', 'The Money Pit (1986)', 'Alvin and the Chipmunks: The Road Chip (2015)', 'Find Me Falling (2024)', 'The Out-Laws (2023)', 'Sweethearts (2024)', 'The Little Rascals (1994)', 'Silver Linings Playbook (2012)', 'Birds of Prey (2020)', 'Jerry Maguire (1996)', 'Mr. Deeds (2002)', 'Holiday in the Wild (2019)', 'A Hollywood Christmas (2022) (TV)', 'Stand by Me (1986)', 'Home Alone 2: Lost in New York (1992)', 'Feast of the Seven Fishes (2019)', 'Family Switch (2023)', 'Get Over It (2001)', '8-Bit Christmas (2021)', 'Love Is in the Air (2023)', 'The Girl Next Door (2004)', 'A Christmas Story (1983)', 'Good Luck Chuck (2007)', 'Mean Girls 2 (2011) (TV)', 'Nutcrackers (2024)', 'Lyle, Lyle, Crocodile (2022)', 'EuroTrip (2004)', ""Daddy's Home (2015)"", 'Hot Frosty (2024)', 'Movie 43 (2013)', '50/50 (2011)', 'Norbit (2007)', 'After Everything (2018)', 'Knocked Up (2007)', 'The First Slam Dunk (2022)', 'Marcel the Shell with Shoes On (2021)', 'Remember the Titans (2000)', 'Meet Me Next Christmas (2024)', 'The Cutting Edge (1992)', 'The Fall Guy (2024)', 'Beetlejuice Beetlejuice (2024)', 'It Takes Two (1995)', 'Flipped (2010)', ""Eddie's Million Dollar Cook-Off (2003) (TV)"", 'Scary Movie (2000)', 'The Noel Diary (2022)', 'Pixels (2015)', 'Two Weeks Notice (2002)', 'Dìdi (2024)', 'Sleepless in Seattle (1993)', 'First Daughter (2004)', 'Incoming (2024)', 'The Kissing Booth (2018)', 'Lost in Translation (2003)', 'Planes, Trains & Automobiles (1987)', 'Crossroads (2002)', 'My Cousin Vinny (1992)', 'Just My Luck (2006)', 'Along Came Polly (2004)', 'The Sitter (2011)', 'Instant Family (2018)', ""Daddy's Home 2 (2017)"", 'My Old Ass (2024)', 'A Cinderella Story (2004)', 'Just Go with It (2011)', 'Fast Times at Ridgemont High (1982)', 'When Harry Met Sally... (1989)', 'Harry and the Hendersons (1987)', 'Wedding Daze (2006)', 'Easy A (2010)', 'The Animal (2001)', 'The Cable Guy (1996)', 'Groundhog Day (1993)', ""National Lampoon's Christmas Vacation (1989)"", 'Warm Bodies (2013)', 'Anora (2024)', 'Hunt for the Wilderpeople (2016)', ""Bridget Jones's Diary (2001)"", 'Rye Lane (2023)', ""It's What's Inside (2024)"", 'Shallow Hal (2001)', 'IF (2024)', 'Dan in Real Life (2007)', 'Police Story (1985)', 'Confessions of a Shopaholic (2009)', 'Jackpot! (2024)', 'Slums of Beverly Hills (1998)', 'Pitch Perfect 2 (2015)', 'Ricky Stanicky (2024)', 'Waiting... (2005)', 'Never Been Kissed (1999)', 'Lars and the Real Girl (2007)', 'Cool Runnings (1993)', 'Liar Liar (1997)', 'Maid in Manhattan (2002)', 'Sixteen Candles (1984)', 'They Came Together (2014)', 'Zack and Miri Make a Porno (2008)', 'Love, Divided (2024)', ""You've Got Mail (1998)"", 'Música (2024)', '27 Dresses (2008)', 'Robin Hood: Men in Tights (1993)', 'The Way Way Back (2013)', 'The Edge of Seventeen (2016)', 'The Idea of You (2024)', 'Sing Street (2016)', 'The Grand Budapest Hotel (2014)', 'Mother of the Bride (2024)', 'Blended (2014)', 'Bottoms (2023)', 'The Waterboy (1998)', 'The Big Lebowski (1998)', 'South Park (Not Suitable for Children) (2023) (TV)', 'South Park: The End of Obesity (2024)', 'Melody Time (1948)', 'Big (1988)', ""Ferris Bueller's Day Off (1986)"", 'MoviePass, MovieCrash (2024)', 'Not Another Teen Movie (2001)', 'Man Up (2015)', 'Haikyuu!! The Dumpster Battle (2024)', 'Ruby Gillman: Teenage Kraken (2023)', 'Hit Man (2023)', 'Muppets Haunted Mansion (2021)', 'Clue (1985)', 'Five Blind Dates (2024)', 'Irish Wish (2024)', 'Green Book (2018)', 'Keanu (2016)', 'The Peanut Butter Falcon (2019)', 'Vacation (2015)', 'The Other Zoey (2023)', 'Anyone But You (2023)', ""She's Out of My League (2010)"", 'The Holdovers (2023)', 'Pitch Perfect (2012)', 'Candy Jar (2018)', 'Chef (2014)', 'Happiness for Beginners (2023)', 'Love in Taipei (2023)', 'Birdman or (The Unexpected Virtue of Ignorance) (2014)', 'Eighth Grade (2018)', 'Self Reliance (2023)', 'Lift (2024)', 'Jackass Presents: Bad Grandpa (2013)', 'Talladega Nights: The Ballad of Ricky Bobby (2006)', 'Ted 2 (2015)', 'Penelope (2006)', 'The Secret Life of Walter Mitty (2013)', 'The Other Guys (2010)', ""Wayne's World (1992)"", 'Neighbors (2014)', 'Neighbors 2: Sorority Rising (2016)', 'Jerry and Marge Go Large (2022)', 'CODA (2021)', 'Mean Girls (2024)', 'Horrible Bosses (2011)', 'Horrible Bosses 2 (2014)', 'Zookeeper (2011)', 'Upgraded (2024)', 'Ghostbusters: Frozen Empire (2024)', 'The Wrong Missy (2020)', 'Zoey 102 (2023)', 'Get Hard (2015)', 'Fun with Dick and Jane (2005)', 'Weird Science (1985)', 'Vacation (1983)', ""Dude, Where's My Car? (2000)"", ""Gulliver's Travels (2010)"", ""Cats Don't Dance (1997)"", 'Home Team (2022)', 'Yes Man (2008)', 'Ace Ventura: Pet Detective (1994)', 'Idiocracy (2006)', 'Thelma (2024)', 'The Hot Chick (2002)', 'The Giant Mechanical Man (2012)', 'Little Italy (2018)']"
Drama,119,"['Killers of the Flower Moon (2023)', 'Woman of the Hour (2023)', 'Eternal Sunshine of the Spotless Mind (2004)', 'The Giant Mechanical Man (2012)', 'First Daughter (2004)', 'Instant Family (2018)', 'Sleepless in Seattle (1993)', 'Rocky Balboa (2006)', 'Creed (2015)', 'Glass (2019)', 'Creed II (2018)', 'Creed III (2023)', 'I Saw the TV Glow (2024)', 'Killer Heat (2024)', 'Unbreakable (2000)', 'Zoey 102 (2023)', 'Joker: Folie à Deux (2024)', 'Love Is in the Air (2023)', 'Coach Carter (2005)', 'Lonely Planet (2024)', 'Anatomy of a Fall (2023)', 'Holiday in the Wild (2019)', 'Dìdi (2024)', 'The Sixth Sense (1999)', 'The Departed (2006)', 'The Shawshank Redemption (1994)', 'Maboroshi (2023)', 'The Whale (2022)', 'The Cable Guy (1996)', 'When Harry Met Sally... (1989)', 'The Substance (2024)', 'Gravity (2013)', 'Fast Times at Ridgemont High (1982)', 'Annihilation (2018)', 'Eighth Grade (2018)', 'Mean Girls 2 (2011) (TV)', 'Birdman or (The Unexpected Virtue of Ignorance) (2014)', 'Nutcrackers (2024)', 'A Haunting in Venice (2023)', 'Happiness for Beginners (2023)', 'Candy Jar (2018)', 'Blue Lock: Episode Nagi (2024)', 'The Iron Claw (2023)', 'See You on Venus (2023)', 'The Holdovers (2023)', 'Tombstone (1993)', 'Juror #2 (2024)', 'Nights in Rodanthe (2008)', 'The Other Zoey (2023)', 'Groundhog Day (1993)', 'The Cutting Edge (1992)', 'Jerry Maguire (1996)', 'Here (2024)', 'CODA (2021)', 'The Last Samurai (2003)', '50/50 (2011)', 'Nomadland (2020)', 'Gone Girl (2014)', 'Past Lives (2023)', 'The Guilty (2021)', 'Caddo Lake (2024)', 'My Old Ass (2024)', 'Rocky V (1990)', 'Prisoners (2013)', 'Zodiac (2007)', 'Maid in Manhattan (2002)', 'Lars and the Real Girl (2007)', 'Edward Scissorhands (1990)', 'Seasons (2023)', 'The Lie (2018)', 'Air (2023)', 'Rye Lane (2023)', ""Bridget Jones's Diary (2001)"", 'Anora (2024)', 'A Quiet Place: Day One (2024)', 'Rocky IV (1985)', 'The Fabelmans (2022)', 'After Everything (2018)', 'The Edge of Seventeen (2016)', 'Good Will Hunting (1997)', 'Top Gun: Maverick (2022)', 'Never Been Kissed (1999)', 'Akeelah and the Bee (2006)', 'The Hurt Locker (2008)', 'The Secret Garden (1993)', 'Shallow Hal (2001)', 'Turtles All the Way Down (2024)', 'A Hollywood Christmas (2022) (TV)', ""Gerald's Game (2017)"", 'Big (1988)', 'The Curious Case of Benjamin Button (2008)', 'It Ends with Us (2024)', 'The Way Way Back (2013)', 'The Founder (2016)', 'Children of Men (2006)', 'Fargo (1996)', 'Flipped (2010)', 'Dan in Real Life (2007)', 'Crossroads (2002)', ""You've Got Mail (1998)"", 'Planes, Trains & Automobiles (1987)', 'Rocky III (1982)', 'Pulp Fiction (1994)', 'The Girl Next Door (2004)', 'A Family Affair (2024)', 'Rocky II (1979)', 'Easy A (2010)', 'Rocky (1976)', 'The Bikeriders (2023)', 'Man Up (2015)', 'Sing Street (2016)', 'Mother of the Bride (2024)', 'Brokeback Mountain (2005)', 'Silver Linings Playbook (2012)', 'The Idea of You (2024)', 'The Social Network (2010)', 'Lost in Translation (2003)', 'Slums of Beverly Hills (1998)', 'The Noel Diary (2022)']"
Adventure,78,"['Idiocracy (2006)', 'Twisters (2024)', 'The Losers (2010)', 'The Croods (2013)', 'Furiosa: A Mad Max Saga (2024)', 'Vacation (1983)', 'Robin Hood: Men in Tights (1993)', 'Free Birds (2013)', 'Turbo (2013)', 'Lyle, Lyle, Crocodile (2022)', 'Despicable Me 4 (2024)', ""A Knight's Tale (2001)"", 'Twister (1996)', ""Gulliver's Travels (2010)"", 'Thumbelina (1994)', 'The Peanut Butter Falcon (2019)', 'Vivo (2021)', 'Alvin and the Chipmunks: The Road Chip (2015)', 'The Croods: A New Age (2020)', 'The Dark Crystal (1982)', 'The Peanuts Movie (2015)', 'The Grand Budapest Hotel (2014)', 'Cars 3 (2017)', 'The Lorax (2012)', 'Muppets Haunted Mansion (2021)', 'Hunt for the Wilderpeople (2016)', 'Borderlands (2024)', 'Inside Out 2 (2024)', 'Rio (2011)', 'Kingdom of the Planet of the Apes (2024)', 'Cool Runnings (1993)', ""Fool's Gold (2008)"", 'Leo (2023)', 'Cars 2 (2011)', 'Saving Bikini Bottom: The Sandy Cheeks Movie (2024)', 'The Garfield Movie (2024)', 'Scoob! (2020)', 'Prey (2022)', 'Migration (2023)', 'The Terminator (1984)', 'Terminator 2: Judgment Day (1991)', 'Deadpool & Wolverine (2024)', 'All Dogs Go to Heaven (1989)', 'Madame Web (2024)', 'Godzilla x Kong: The New Empire (2024)', 'Wonka (2023)', 'Bee Movie (2007)', 'The Adam Project (2022)', 'The Aristocats (1970)', ""Ron's Gone Wrong (2021)"", 'Stand by Me (1986)', 'Arthur Christmas (2011)', 'Dungeons & Dragons: Honor Among Thieves (2023)', 'Pacific Rim (2013)', 'Chef (2014)', 'Klaus (2019)', 'Descendants: The Rise of Red (2024)', 'Drifting Home (2022)', 'Kong: Skull Island (2017)', 'Venom: The Last Dance (2024)', 'Sonic the Hedgehog 3 (2024)', 'The Secret Life of Walter Mitty (2013)', 'Harold and the Purple Crayon (2024)', 'Gladiator II (2024)', 'Shaun the Sheep Movie (2015)', 'Mission: Impossible - Dead Reckoning Part One (2023)', 'Badland Hunters (2024)', 'Moana 2 (2024)', 'Annihilation (2018)', 'Orion and the Dark (2024)', 'Aliens (1986)', 'Flow (2024)', 'The Flash (2023)', 'Wish (2023)', 'Society of the Snow (2023)', 'Home Alone 2: Lost in New York (1992)', 'Vacation (2015)', 'Ghostbusters: Frozen Empire (2024)']"
Action,75,"['Kingdom of the Planet of the Apes (2024)', 'Aliens (1986)', 'The Flash (2023)', 'Madame Web (2024)', 'Terminator 2: Judgment Day (1991)', 'The Terminator (1984)', 'The Adventures of Tintin (2011)', 'Enter the Dragon (1973)', 'Prey (2022)', 'Police Story (1985)', 'Jackpot! (2024)', 'Fall (2022)', 'Dungeons & Dragons: Honor Among Thieves (2023)', 'Twilight of the Warriors: Walled In (2024)', 'Pacific Rim (2013)', 'The Sea Beast (2022)', 'Nobody (2021)', 'Descendants: The Rise of Red (2024)', 'Creed II (2018)', 'Captain Phillips (2013)', 'The Other Guys (2010)', 'Blade (1998)', 'Godzilla x Kong: The New Empire (2024)', 'The Last Samurai (2003)', 'Demon Slayer: Kimetsu No Yaiba - To the Hashira Training (2024)', 'The Gray Man (2022)', 'Creed (2015)', 'Spies in Disguise (2019)', 'Security (2017)', 'The Pirates! Band of Misfits (2012)', 'Pixels (2015)', 'Transformers One (2024)', 'Monkey Man (2024)', ""A Knight's Tale (2001)"", 'Top Gun: Maverick (2022)', 'Non-Stop (2014)', 'Borderlands (2024)', 'Kong: Skull Island (2017)', 'Venom: The Last Dance (2024)', 'Strange World (2022)', 'The Fall Guy (2024)', 'Sisu (2022)', '7 Days War (2019)', 'Spy x Family Code: White (2023)', 'Badland Hunters (2024)', 'Nimona (2023)', 'Boy Kills World (2023)', 'The Losers (2010)', 'Rebel Ridge (2024)', 'Gladiator II (2024)', 'Creed III (2023)', 'Twister (1996)', 'Mission: Impossible - Dead Reckoning Part One (2023)', 'Thelma (2024)', 'Carry-On (2024)', 'The Out-Laws (2023)', 'Trigger Warning (2024)', 'Sonic the Hedgehog 3 (2024)', 'The Angry Birds Movie (2016)', 'Kung Fu Panda 3 (2016)', 'The Beekeeper (2024)', 'Keanu (2016)', 'Kung Fu Panda 4 (2024)', 'The Lego Batman Movie (2017)', 'Deadpool & Wolverine (2024)', ""Chip 'n Dale: Rescue Rangers (2022)"", 'Lightyear (2022)', 'Captain Underpants: The First Epic Movie (2017)', 'Lift (2024)', 'Furiosa: A Mad Max Saga (2024)', 'Twisters (2024)', 'Birds of Prey (2020)', 'Megamind (2010)', 'The Adam Project (2022)', ""Fool's Gold (2008)""]"
Animation,61,"['Maboroshi (2023)', 'Melody Time (1948)', 'Klaus (2019)', 'South Park (Not Suitable for Children) (2023) (TV)', 'Leo (2023)', 'Shaun the Sheep Movie (2015)', 'IF (2024)', 'The Garfield Movie (2024)', ""Cats Don't Dance (1997)"", 'Arthur Christmas (2011)', 'South Park: The End of Obesity (2024)', 'Nimona (2023)', 'Cars 2 (2011)', 'The Angry Birds Movie (2016)', 'Saving Bikini Bottom: The Sandy Cheeks Movie (2024)', ""Chip 'n Dale: Rescue Rangers (2022)"", 'Lightyear (2022)', 'Rio (2011)', 'Inside Out 2 (2024)', 'Scoob! (2020)', 'The Lego Batman Movie (2017)', 'Cars 3 (2017)', 'Kung Fu Panda 4 (2024)', 'The Lorax (2012)', 'Kung Fu Panda 3 (2016)', 'Ruby Gillman: Teenage Kraken (2023)', 'Spies in Disguise (2019)', 'Haikyuu!! The Dumpster Battle (2024)', 'All Dogs Go to Heaven (1989)', 'The Peanuts Movie (2015)', 'The Sea Beast (2022)', 'Megamind (2010)', 'Harold and the Purple Crayon (2024)', 'Migration (2023)', 'The Croods (2013)', 'Moana 2 (2024)', 'Strange World (2022)', 'Spy x Family Code: White (2023)', 'Orion and the Dark (2024)', ""Ron's Gone Wrong (2021)"", 'Drifting Home (2022)', 'Thumbelina (1994)', 'Captain Underpants: The First Epic Movie (2017)', 'Blue Lock: Episode Nagi (2024)', 'Marcel the Shell with Shoes On (2021)', 'Transformers One (2024)', 'The First Slam Dunk (2022)', 'Despicable Me 4 (2024)', 'Vivo (2021)', 'Turbo (2013)', 'The Pirates! Band of Misfits (2012)', 'Bee Movie (2007)', 'Demon Slayer: Kimetsu No Yaiba - To the Hashira Training (2024)', 'Wish (2023)', 'Free Birds (2013)', 'Flow (2024)', 'The Croods: A New Age (2020)', 'The Wild Robot (2024)', 'The Adventures of Tintin (2011)', 'The Aristocats (1970)', '7 Days War (2019)']"
Romance,39,"['Girl Haunts Boy (2024)', 'Good Will Hunting (1997)', 'Love, Divided (2024)', 'Yes Man (2008)', 'Love in Taipei (2023)', 'Mr. Deeds (2002)', 'Blended (2014)', 'Norbit (2007)', 'Zack and Miri Make a Porno (2008)', 'Anyone But You (2023)', 'Knocked Up (2007)', 'Brokeback Mountain (2005)', 'Get Over It (2001)', 'Nights in Rodanthe (2008)', 'Past Lives (2023)', 'See You on Venus (2023)', 'The Kissing Booth (2018)', 'Along Came Polly (2004)', 'Little Italy (2018)', 'Weird Science (1985)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Just Go with It (2011)', '27 Dresses (2008)', 'The Wrong Missy (2020)', 'Sixteen Candles (1984)', 'Confessions of a Shopaholic (2009)', 'It Ends with Us (2024)', 'Meet Me Next Christmas (2024)', 'Seasons (2023)', 'Lonely Planet (2024)', 'Five Blind Dates (2024)', 'Two Weeks Notice (2002)', 'Wedding Daze (2006)', 'Sidelined: The QB and Me (2024)', 'Baby Mama (2008)', 'Upgraded (2024)', 'Good Luck Chuck (2007)', ""She's Out of My League (2010)"", 'They Came Together (2014)']"
Crime,36,"['Zodiac (2007)', 'Reno 911!: Miami (2007)', 'Enter the Dragon (1973)', 'Twilight of the Warriors: Walled In (2024)', 'Horrible Bosses 2 (2014)', 'My Cousin Vinny (1992)', 'Pulp Fiction (1994)', 'The Guilty (2021)', 'Knox Goes Away (2023)', 'Fargo (1996)', 'Anatomy of a Fall (2023)', 'The Lie (2018)', 'Prisoners (2013)', 'Woman of the Hour (2023)', 'The Bikeriders (2023)', 'The Beekeeper (2024)', 'Boy Kills World (2023)', 'The Departed (2006)', 'Rebel Ridge (2024)', 'Trigger Warning (2024)', 'Juror #2 (2024)', 'Trap (2024)', 'Horrible Bosses (2011)', 'Catch Me If You Can (2002)', 'Security (2017)', 'Carry-On (2024)', 'Killers of the Flower Moon (2023)', 'Monkey Man (2024)', 'Clue (1985)', 'A Haunting in Venice (2023)', 'Hit Man (2023)', 'The Big Lebowski (1998)', 'Killer Heat (2024)', 'Fun with Dick and Jane (2005)', 'Nobody (2021)', 'Get Hard (2015)']"
Horror,17,"['Knock at the Cabin (2023)', 'Trap (2024)', 'Blade (1998)', ""The Pope's Exorcist (2023)"", 'Insidious: The Red Door (2023)', 'Afraid (2024)', 'Warm Bodies (2013)', ""Gerald's Game (2017)"", 'A Quiet Place: Day One (2024)', 'The Substance (2024)', 'Banshee Chapter (2013)', 'It Follows (2014)', 'Glass (2019)', 'Split (2016)', 'I Saw the TV Glow (2024)', 'Sinister (2012)', 'The Others (2001)']"
Mystery,17,"['Knock at the Cabin (2023)', ""Dude, Where's My Car? (2000)"", 'Unbreakable (2000)', 'Afraid (2024)', 'It Follows (2014)', 'Insidious: The Red Door (2023)', 'The Sixth Sense (1999)', 'The Others (2001)', 'Non-Stop (2014)', 'Turtles All the Way Down (2024)', 'The Gray Man (2022)', 'Memento (2000)', ""It's What's Inside (2024)"", 'Banshee Chapter (2013)', 'Caddo Lake (2024)', 'Sinister (2012)', 'Gone Girl (2014)']"
Family,14,"['8-Bit Christmas (2021)', 'The Dark Crystal (1982)', 'Family Switch (2023)', 'A Cinderella Story (2004)', ""Eddie's Million Dollar Cook-Off (2003) (TV)"", 'It Takes Two (1995)', 'Zookeeper (2011)', 'The Little Rascals (1994)', 'A Christmas Story (1983)', 'The Secret Garden (1993)', ""Daddy's Home (2015)"", 'Jingle All the Way 2 (2014) (V)', 'Harry and the Hendersons (1987)', 'Akeelah and the Bee (2006)']"
