name,len,Long Title
Warner Bros.,32,"['Yes Man (2008)', 'Nights in Rodanthe (2008)', 'Enter the Dragon (1973)', ""Fool's Gold (2008)"", 'Gravity (2013)', 'A Cinderella Story (2004)', 'Twisters (2024)', ""You've Got Mail (1998)"", 'Creed (2015)', 'The Lego Batman Movie (2017)', 'Twister (1996)', 'Zodiac (2007)', 'Beetlejuice Beetlejuice (2024)', 'Wonka (2023)', 'Furiosa: A Mad Max Saga (2024)', 'Pacific Rim (2013)', 'Scoob! (2020)', 'Creed II (2018)', 'Godzilla x Kong: The New Empire (2024)', '8-Bit Christmas (2021)', 'Juror #2 (2024)', 'The Departed (2006)', 'Kong: Skull Island (2017)', 'The Curious Case of Benjamin Button (2008)', 'The Last Samurai (2003)', 'The Secret Garden (1993)', 'The Flash (2023)', 'Get Hard (2015)', 'Blended (2014)', 'Vacation (1983)', 'The Losers (2010)', 'Joker: Folie à Deux (2024)']"
Universal Pictures,28,"['The Fall Guy (2024)', 'Knock at the Cabin (2023)', 'Twister (1996)', 'Kung Fu Panda 4 (2024)', 'The Money Pit (1986)', 'Neighbors 2: Sorority Rising (2016)', 'The Little Rascals (1994)', 'Children of Men (2006)', ""Bridget Jones's Diary (2001)"", 'Migration (2023)', 'Twisters (2024)', 'The Lorax (2012)', 'Fast Times at Ridgemont High (1982)', 'Along Came Polly (2004)', 'Weird Science (1985)', 'Wicked (2024)', 'Despicable Me 4 (2024)', 'Sixteen Candles (1984)', 'Ruby Gillman: Teenage Kraken (2023)', 'Knocked Up (2007)', 'The Fabelmans (2022)', 'Liar Liar (1997)', 'Pitch Perfect 2 (2015)', 'Billy Madison (1995)', 'Glass (2019)', 'Ted 2 (2015)', 'Harry and the Hendersons (1987)', 'Split (2016)']"
Columbia Pictures,26,"['The Social Network (2010)', 'Mr. Deeds (2002)', 'The Cable Guy (1996)', 'Anyone But You (2023)', 'Afraid (2024)', 'Stand by Me (1986)', 'Vivo (2021)', 'Groundhog Day (1993)', 'The Pirates! Band of Misfits (2012)', 'Not Another Teen Movie (2001)', 'Fun with Dick and Jane (2005)', 'Pixels (2015)', 'Just Go with It (2011)', 'Madame Web (2024)', 'Venom: The Last Dance (2024)', 'Arthur Christmas (2011)', 'The Garfield Movie (2024)', 'Rocky Balboa (2006)', 'The Angry Birds Movie (2016)', ""A Knight's Tale (2001)"", 'Harold and the Purple Crayon (2024)', 'Ghostbusters: Frozen Empire (2024)', 'The Adventures of Tintin (2011)', 'The Other Guys (2010)', 'Talladega Nights: The Ballad of Ricky Bobby (2006)', 'Zookeeper (2011)']"
Paramount Pictures,22,"['Top Gun: Maverick (2022)', 'The Adventures of Tintin (2011)', 'Planes, Trains & Automobiles (1987)', 'Clue (1985)', 'Instant Family (2018)', ""Daddy's Home (2015)"", 'Mission: Impossible - Dead Reckoning Part One (2023)', ""Daddy's Home 2 (2017)"", 'IF (2024)', 'The Curious Case of Benjamin Button (2008)', ""Ferris Bueller's Day Off (1986)"", 'Jackass Presents: Bad Grandpa (2013)', 'Sonic the Hedgehog 3 (2024)', ""Wayne's World (1992)"", 'Zodiac (2007)', 'Mean Girls (2024)', 'Crossroads (2002)', 'Gladiator II (2024)', 'Reno 911!: Miami (2007)', 'A Quiet Place: Day One (2024)', 'Annihilation (2018)', 'Dungeons & Dragons: Honor Among Thieves (2023)']"
TSG Entertainment,17,"['Anyone But You (2023)', 'Venom: The Last Dance (2024)', 'Kingdom of the Planet of the Apes (2024)', 'Lyle, Lyle, Crocodile (2022)', 'Ghostbusters: Frozen Empire (2024)', ""Ron's Gone Wrong (2021)"", 'Harold and the Purple Crayon (2024)', 'The Grand Budapest Hotel (2014)', 'Madame Web (2024)', 'The Secret Life of Walter Mitty (2013)', 'Gone Girl (2014)', ""The Pope's Exorcist (2023)"", 'Alvin and the Chipmunks: The Road Chip (2015)', 'Deadpool & Wolverine (2024)', 'Birdman or (The Unexpected Virtue of Ignorance) (2014)', 'A Haunting in Venice (2023)', 'Afraid (2024)']"
Twentieth Century Fox,14,"['Jingle All the Way 2 (2014) (V)', 'The Secret Life of Walter Mitty (2013)', 'Reno 911!: Miami (2007)', ""Dude, Where's My Car? (2000)"", ""Gulliver's Travels (2010)"", 'Edward Scissorhands (1990)', 'The Sitter (2011)', 'Gone Girl (2014)', 'My Cousin Vinny (1992)', 'Big (1988)', 'Aliens (1986)', 'Idiocracy (2006)', 'Home Alone 2: Lost in New York (1992)', 'Shallow Hal (2001)']"
New Line Cinema,11,"['The Secret Life of Walter Mitty (2013)', 'Horrible Bosses 2 (2014)', 'Vacation (2015)', 'Horrible Bosses (2011)', 'Keanu (2016)', '8-Bit Christmas (2021)', 'Turtles All the Way Down (2024)', 'Creed (2015)', 'Mr. Deeds (2002)', 'Creed II (2018)', 'Blade (1998)']"
DreamWorks Animation,11,"['Orion and the Dark (2024)', 'The Croods: A New Age (2020)', 'Turbo (2013)', 'Ruby Gillman: Teenage Kraken (2023)', 'The Wild Robot (2024)', 'Kung Fu Panda 3 (2016)', 'Captain Underpants: The First Epic Movie (2017)', 'Bee Movie (2007)', 'Megamind (2010)', 'Kung Fu Panda 4 (2024)', 'The Croods (2013)']"
Happy Madison Productions,11,"['Leo (2023)', 'The Out-Laws (2023)', 'The Wrong Missy (2020)', 'Blended (2014)', 'Mr. Deeds (2002)', 'Home Team (2022)', 'The Animal (2001)', 'Pixels (2015)', 'Just Go with It (2011)', 'Zookeeper (2011)', 'The Hot Chick (2002)']"
Walt Disney Pictures,10,"['Wish (2023)', 'Lightyear (2022)', 'Moana 2 (2024)', 'Strange World (2022)', 'Cars 3 (2017)', 'Remember the Titans (2000)', 'Cars 2 (2011)', 'Inside Out 2 (2024)', ""Chip 'n Dale: Rescue Rangers (2022)"", 'Cool Runnings (1993)']"
Dentsu,10,"['Twisters (2024)', 'Maboroshi (2023)', 'Nobody (2021)', 'The Wild Robot (2024)', 'The Croods: A New Age (2020)', 'Migration (2023)', 'Wicked (2024)', 'Kung Fu Panda 4 (2024)', 'Split (2016)', 'Knock at the Cabin (2023)']"
Metro-Goldwyn-Mayer (MGM),9,"['Creed (2015)', 'Creed II (2018)', 'Creed III (2023)', 'Zookeeper (2011)', 'A Christmas Story (1983)', 'The Cutting Edge (1992)', 'Rocky Balboa (2006)', 'Lars and the Real Girl (2007)', 'Música (2024)']"
Netflix,9,"['Hit Man (2023)', 'The Wrong Missy (2020)', 'Love, Divided (2024)', 'Lift (2024)', 'The Guilty (2021)', 'Leo (2023)', 'The Kissing Booth (2018)', 'The Gray Man (2022)', 'The Sea Beast (2022)']"
Chartoff-Winkler Productions,9,"['Rocky Balboa (2006)', 'Rocky V (1990)', 'Rocky IV (1985)', 'Creed II (2018)', 'Rocky III (1982)', 'Rocky II (1979)', 'Creed III (2023)', 'Rocky (1976)', 'Creed (2015)']"
Amblin Entertainment,8,"['The Adventures of Tintin (2011)', 'The Money Pit (1986)', 'Catch Me If You Can (2002)', 'Twisters (2024)', 'Twister (1996)', 'The Fabelmans (2022)', 'Harry and the Hendersons (1987)', 'The Little Rascals (1994)']"
Miramax,8,"['Pulp Fiction (1994)', 'Good Will Hunting (1997)', 'The Beekeeper (2024)', 'Get Over It (2001)', 'The Holdovers (2023)', 'Here (2024)', ""Bridget Jones's Diary (2001)"", 'The Others (2001)']"
Québec Production Services Tax Credit,8,"['Wicked (2024)', 'IF (2024)', 'Venom: The Last Dance (2024)', 'Wonka (2023)', 'Ghostbusters: Frozen Empire (2024)', 'Gladiator II (2024)', 'Deadpool & Wolverine (2024)', 'The Flash (2023)']"
